All,Tümü
None,Hiçbiri
"Allowed Scopes","İzin Verilen Kapsamlar"
"You need more permissions to delete this item(s): %1.","Bu öğe(ler)i silmek için daha fazla izine ihtiyacınız var: %1."
"You need more permissions to apply some of the rule updates.","Kural güncellemelerinden bazılarını uygulamak için daha fazla izine ihtiyacınız var."
"Please assign this entity to a store view.","Lütfen bu varlığı bir mağaza görünümüne atayın."
"You can create orders only in an active store.","Yalnızca etkin bir mağazada sipariş oluşturabilirsiniz."
"Please assign this item to a store view.","Lütfen bu öğeyi bir mağaza görünümüne atayın."
"You need more permissions to save this item.","Bu öğeyi kaydetmek için daha fazla izine ihtiyacınız var."
"You need more permissions to delete this item.","Bu öğeyi silebilmek için daha fazla izine ihtiyacınız var."
"You need more permissions to view this item.","Bu öğeyi görebilmek için daha fazla izine ihtiyacınız var."
"Please specify at least one website or one store group.","Lütfen en az bir websitesi veya bir mağaza grubu belirtin."
"You need more permissions to set All Scopes to a Role.","Tüm Kapasamları bir Role atayabilmek için daha fazla izine ihtiyacınız var."
"Incorrect website ID: %1","Hatalı websitesi kimliği: %1"
"You need more permissions to access website ""%1"".","""%1"" websitesine erişebilmek için daha fazla izine ihtiyacınız var."
"Incorrect store ID: %1","Hatalı mağaza kimliği: %1"
"You need more permissions to save this setting.","Bu ayarı kaydedebilmek için daha fazla izine ihtiyacınız var."
"Role Scopes","Rol Kapsamları"
Custom,Özel
"You don't have permissions to save this item in scope of current store view. Please, switch to allowed store view","Bu öğeyi geçerli mağaza görünümü kapsamında kaydetme izniniz yok. Lütfen, izin verilen mağaza görünümüne geçiniz"
"More permissions are needed to delete the ""%1"" item.","""%1"" öğesini silmek için daha fazla izine ihtiyaç vardır."
"This entity needs to be assigned to a store view. Verify the entity assignment and try again.","Bu varlık için bir mağaza görünümüne atanması gerekir. Varlık atamasını doğrulayın ve yeniden deneyin."
"Orders can only be completed in an active store. Verify the store and try again.","Siparişler sadece aktif bir mağazada tamamlanabilir. Mağazayı kontrol edin ve tekrar deneyin."
"This item needs to be assigned to a store view. Assign item and try again.","Bu ürün bir dükkan görünümüne atanmalıdır. Ürün atayın ve tekrar deneyin."
"More permissions are needed to save this item.","Bu ürünü kaydetmek için daha fazla izne ihtiyacınız var."
"More permissions are needed to delete this item.","Bu ürünü silmek için daha fazla izne ihtiyacınız var."
"More permissions are needed to view this item.","Bu ürünü görüntüleyebilmek için daha fazla izne ihtiyaç var."
"At least one website or store group needs to be selected. Select and try again.","En az bir web sitesi veya dükkan grubu seçilmeli. Seçin ve tekrar deneyin."
"More permissions are needed to set All Scopes to a Role.","Tüm görünümleri bir role atamak için daha fazla izne ihtiyaç var."
"The ""%1"" website ID is incorrect. Verify the website ID and try again.","""%1"" website ID yanlış. Doğru olduğuna emin olduktan sonra tekrar deneyiniz."
"The ""%1"" store ID is incorrect. Verify the store ID and try again.","""%1"" website ID yanlış. Doğru olduğuna emin olduktan sonra tekrar deneyiniz."
"More permissions are needed to save this setting.","Bu ayarı kaydetmek için daha fazla izne ihtiyacınız var."
"Read Details","Detayları Oku"
"Mark as Read","Okundu Olarak İşaretle"
"Are you sure?","Emin misiniz?"
Remove,Kaldır
"Messages Inbox","Mesaj Gelen Kutusu"
"You have %1 new system messages","%1 yeni sistem mesajınız var"
"You have %1 new system message","%1 yeni sistem mesajınız var"
"Incoming Message","Gelen Mesaj"
close,kapat
Notifications,Bildirimler
"The message has been marked as Read.","Bu mesaj Okundu olarak işaretlendi."
"We couldn't mark the notification as Read because of an error.","Bir hata sebebiyle bildirimi Okundu olarak işaretleyemiyoruz."
"Please select messages.","Lütfen mesajları seçin."
"A total of %1 record(s) have been marked as Read.","Toplam %1 kayıt Okundu olarak işaretlendi."
"Total of %1 record(s) have been removed.","Toplam %1 kayıt kaldırıldı."
"We couldn't remove the messages because of an error.","Bir hata nedeniyle iletileri kaldıramadık."
"The message has been removed.","Mesaj silindi."
"1 Hour","1 Saat"
"2 Hours","2 Saat"
"6 Hours","6 Saat"
"12 Hours","12 Saat"
"24 Hours","24 Saat"
critical,kritik
major,büyük
minor,küçük
notice,bilgi
"Wrong message type","Hatalı mesaj tipi"
"Wrong notification ID specified.","Yanlış bildirim kimliği belirtildi."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} Bankası güvenli olmayan URL bildirmek için bir üretim ortamında kullanmanız önerilmez / Bankası güvenli URL. Senin Magento <a href=""%1""> yapılandırma</a> bu değerin değiştirilmesi önerilir."
"One or more of the Cache Types are invalidated: %1. ","Önbellek Türlerinden bir veya daha fazlası geçersiz kılınmıştır: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Lütfen <a href=""%1"">Ön Bellek Yönetimine </a> gidin ve ön bellek türlerini yenileyin"
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Bir veya daha fazla ortam dosyasını zaman uyumlu yapamıyoruz. Lütfen ayrıntılar için günlük dosyasına başvurun."
"Synchronization of media storages has been completed.","Ortam depolarının senkronizasyonu tamamlandı."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Web sunucunuz hatalı ayarlanmış ve hassas dosyalara yetkisiz erişime izin veriyor. Lütfen barındırma sağlayıcınıza başvurun."
"System Messages:","Sistem Mesajları:"
"Critical System Messages","Kritik Sistem Mesajları"
"Major System Messages","Önemli Sistem Mesajları"
"System messages","Sistem mesajları"
Close,Kapat
"See All (","Hepsini gör ("
" unread)"," okunmamış)"
"Show Toolbar","Araç Çubuğunu Göster"
"Show List","Listeyi Göster"
"Use HTTPS to Get Feed","Veri Akışı İçin HTTPS kullan"
"Update Frequency","Güncelleme Sıklığı"
"Last Update","Son Güncelleme"
Severity,Seviye
"Date Added","Eklenme Tarihi"
Message,Mesaj
Actions,İşlemler
"Close popup","Yakın açılır menüsü"
"You have viewed and resolved all recent system notices. Please refresh the web page to clear the notice alert.","Bütün sistem bildirimlerini görüntülediniz ve kapattınız. Bildirimi temizlemek için lütfen sayfayı yenileyin."
"Manage Shopping Cart","Alışveriş Sepeti Yönet"
"Create Order","Sipariş Oluştur"
Back,Geri
"Add Products","Ürün Ekle"
"Update Items and Quantities","Madde ve miktarları güncelle"
"Are you sure you want to clear your cart?","Sepetinizi temizlemek istediğinizden emin misiniz?"
"Clear my shopping cart","Alışveriş Sepetimi temizle"
"Add selections to my cart","Seçilenleri Sepete Ekle"
Cancel,İptal
"Shopping Cart for %1 in %2","%1/%2 için alışveriş sepeti"
"Select products you want to buy","Satın almak istediğiniz ürünleri seçin"
Product,Ürün
Price,Fiyat
Quantity,Miktar
"Products in the Comparison List (%1)","(%1) Ürün Karşılaştırma Listesinde"
"Last ordered items (%1)","Son sipariş edilen ürünler (%1)"
Products,Ürünler
ID,No
SKU,"Ürün Kodu"
"Recently Compared Products (%1)","Son zamanlarda karşılaştırılan ürünler (%1)"
"Recently Viewed Products (%1)","Son görüntülenen ürünler (%1)"
"Add to Shopping Cart by SKU","SKU ile Alışveriş sepetine ekle"
"Add to Shopping Cart","Sepete Ekle"
"Wish List (%1)","İstek listesi (%1)"
Apply,Onayla
Configure,Yapılandır
"Add to Order by SKU","SKU ile Sipariş Ekle"
"Add to Order","Siparişe Ekle"
"Add Products to Order","Siparişe ürün ekleyin"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> ürün (ler) dikkat gerektirir.</span>"
"Remove All","Tümünü kaldır"
"Only %1%2%3 left in stock","Stokta sadece %1%2%3 kaldı"
"You can buy up to %1 of these per purchase.","Her satın alma da bundan %1 alabilirsiniz."
"You must buy at least %1 of these per purchase.","Bu satınalma bazında en azından %1 satın almanız gerekir."
"Specify the product's options.","Ürünün seçenekleri belirtin."
"Alert me when this item is available.","Bu öğe kullanılabilir olduğunda beni uyar."
"We can't find this customer.","Bu müşteri bulunamıyor."
"Shopping cart management is disabled for this customer.","Alışveriş sepeti yönetimi bu müşteri için devre dışı bırakılır."
"We can't find this store.","Mağaza bulamadı."
Customers,Müşteriler
"Shopping Cart","Alışveriş Sepeti"
"Sorry, something went wrong. You can find out more in the error log.","Üzgünüz, bir şeyler ters gitti. Hata günlüğünde daha fazla bilgi bulabilirsiniz."
"You do not have access to this.","Buna erişiminiz yok."
"Ordered item id is not received.","Sipariş edilen maddenin numarası ulaşmaz."
"Ordered item is not loaded.","Sipariş edilen madde yüklü değil."
"Quote item id is not received.","Sipariş satırı numarası alınamadı."
"Quote item is not loaded.","Teklif ürünü yüklenemedi."
"The wish list item id is not received.","İstek listesi öğesi kimliği ulaşmaz."
"The wish list item is not loaded.","Dilek listesi öğesi yüklenemedi."
